Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,AAPL,152.830002,157.259995,141.270004,141.500000,140.711533,1797835100
2021-10-01,AAPL,141.899994,153.169998,138.270004,149.800003,148.965271,1565079200
2021-11-01,AAPL,148.990005,165.699997,147.479996,165.300003,164.378906,1691029000
2021-12-01,AAPL,167.479996,182.130005,157.800003,177.570007,176.838257,2444766700
2022-01-01,AAPL,177.830002,182.940002,154.699997,174.779999,174.059723,2108446000
2022-02-01,AAPL,174.009995,176.649994,152.000000,165.119995,164.439545,1627516300
2022-03-01,AAPL,164.699997,179.610001,150.100006,174.610001,174.111984,2180800100
2022-04-01,AAPL,174.029999,178.490005,155.380005,157.649994,157.200348,1687795600
2022-05-01,AAPL,156.710007,166.479996,132.610001,148.839996,148.415482,2401040300
2022-06-01,AAPL,149.899994,151.740005,129.039993,136.720001,136.530350,1749099800
2022-07-01,AAPL,136.039993,163.630005,135.660004,162.509995,162.284576,1447027700
2022-08-01,AAPL,161.009995,176.149994,159.630005,167.570007,167.337570,1032508100
2021-09-01,AMZN,174.820007,177.499496,163.699493,164.251999,164.251999,1250554000
2021-10-01,AMZN,164.450500,173.949997,158.812500,168.621506,168.621506,1273466000
2021-11-01,AMZN,168.089996,188.107498,164.177505,175.353500,175.353500,1515990000
2021-12-01,AMZN,177.250000,177.994003,165.195007,166.716995,166.716995,1287634000
2022-01-01,AMZN,167.550003,171.399994,135.352005,149.573502,149.573502,1524654000
2022-02-01,AMZN,150.000000,163.834503,138.332993,153.563004,153.563004,1689604000
2022-03-01,AMZN,152.732498,170.831497,133.572495,162.997498,162.997498,1628486000
2022-04-01,AMZN,164.149506,168.394501,121.625000,124.281502,124.281502,1465008000
2022-05-01,AMZN,122.401001,126.220497,101.260002,120.209503,120.209503,2258476000
2022-06-01,AMZN,122.255997,128.990005,101.430000,106.209999,106.209999,1767601100
2022-07-01,AMZN,106.290001,137.649994,105.849998,134.949997,134.949997,1337675300
2022-08-01,AMZN,134.960007,146.570007,132.850006,133.220001,133.220001,853548700
2021-09-01,GOOG,145.649994,146.820496,133.000000,133.265503,133.265503,505198000
2021-10-01,GOOG,133.554504,149.117996,131.166504,148.270493,148.270493,496572000
2021-11-01,GOOG,148.164993,151.850006,142.065994,142.451996,142.451996,443172000
2021-12-01,GOOG,144.212494,149.604996,140.250000,144.679504,144.679504,479260000
2022-01-01,GOOG,144.475494,146.610001,124.641953,135.698502,135.698502,615510000
2022-02-01,GOOG,137.835007,152.100006,124.764503,134.891006,134.891006,732650000
2022-03-01,GOOG,134.479996,144.162506,125.860748,139.649506,139.649506,637420000
2022-04-01,GOOG,140.009995,144.043747,113.124252,114.966499,114.966499,564940000
2022-05-01,GOOG,113.906502,123.142998,102.208000,114.039001,114.039001,717486000
2022-06-01,GOOG,114.931503,119.398499,105.628548,109.372498,109.372498,627132000
2022-07-01,GOOG,108.336998,120.434998,104.760002,116.639999,116.639999,638766600
2022-08-01,GOOG,115.529999,123.260002,114.260002,115.070000,115.070000,287065300
2021-09-01,MSFT,302.869995,305.320007,281.619995,281.920013,279.578522,502918700
2021-10-01,MSFT,282.119995,332.000000,280.250000,331.619995,328.865753,516515800
2021-11-01,MSFT,331.359985,349.670013,326.369995,330.589996,327.844269,509885200
2021-12-01,MSFT,335.130005,344.299988,317.250000,336.320007,334.136902,625674800
2022-01-01,MSFT,335.350006,338.000000,276.049988,310.980011,308.961395,947531400
2022-02-01,MSFT,310.410004,315.119995,271.519989,298.790009,296.850494,697050600
2022-03-01,MSFT,296.399994,315.950012,270.000000,308.309998,306.942047,734334200
2022-04-01,MSFT,309.369995,315.109985,270.000000,277.519989,276.288666,627343400
2022-05-01,MSFT,277.709991,290.880005,246.440002,271.869995,270.663727,742902000
2022-06-01,MSFT,275.200012,277.690002,241.509995,256.829987,256.285980,621372300
2022-07-01,MSFT,256.390015,282.000000,245.940002,280.739990,280.145355,534868400
2022-08-01,MSFT,277.820007,294.179993,272.380005,277.750000,277.161682,329408800
2021-09-01,META,379.589996,384.329987,338.149994,339.390015,339.390015,338121800
2021-10-01,META,341.609985,345.019989,308.109985,323.570007,323.570007,588382500
2021-11-01,META,326.040009,353.829987,323.200012,324.459991,324.459991,441125000
2021-12-01,META,330.290009,352.709991,299.500000,336.350006,336.350006,438246900
2022-01-01,META,338.299988,343.089996,289.010010,313.260010,313.260010,427237300
2022-02-01,META,314.559998,328.000000,190.220001,211.029999,211.029999,1128039600
2022-03-01,META,209.869995,231.149994,185.820007,222.360001,222.360001,733274500
2022-04-01,META,224.550003,236.860001,169.000000,200.470001,200.470001,672255000
2022-05-01,META,201.169998,224.300003,176.110001,193.639999,193.639999,680548800
2022-06-01,META,196.509995,202.029999,154.250000,161.250000,161.250000,685975600
2022-07-01,META,160.309998,183.850006,154.850006,159.100006,159.100006,586482400
2022-08-01,META,157.250000,183.100006,155.229996,163.050003,163.050003,392597900
